
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=as-733  mode=live_update  decoder=dot
  node_features=learned  loss=margin  seed=4
==================================================================
  snapshot filter (>= 10 edges): 733 -> 733
  T=733  N=7716  start_compute_mrr=0
  edge features: learned (raw dim 1)
Snapshot 0545 | MRR 0.9169
Snapshot 0546 | MRR 0.9010
Snapshot 0547 | MRR 0.9084
Snapshot 0548 | MRR 0.9048
Snapshot 0549 | MRR 0.8521
Snapshot 0550 | MRR 0.8853
Snapshot 0551 | MRR 0.9047
Snapshot 0552 | MRR 0.9094
Snapshot 0553 | MRR 0.9151
Snapshot 0554 | MRR 0.9130
Snapshot 0555 | MRR 0.9145
Snapshot 0556 | MRR 0.9116
Snapshot 0557 | MRR 0.9087
Snapshot 0558 | MRR 0.9119
Snapshot 0559 | MRR 0.9141
Snapshot 0560 | MRR 0.8951
Snapshot 0561 | MRR 0.9004
Snapshot 0562 | MRR 0.9014
Snapshot 0563 | MRR 0.8958
Snapshot 0564 | MRR 0.9052
Snapshot 0565 | MRR 0.9078
Snapshot 0566 | MRR 0.9092
Snapshot 0567 | MRR 0.9103
Snapshot 0568 | MRR 0.9126
Snapshot 0569 | MRR 0.8998
Snapshot 0570 | MRR 0.9069
Snapshot 0571 | MRR 0.9033
Snapshot 0572 | MRR 0.9058
Snapshot 0573 | MRR 0.9087
Snapshot 0574 | MRR 0.9115
Snapshot 0575 | MRR 0.8961
Snapshot 0576 | MRR 0.9131
Snapshot 0577 | MRR 0.9092
Snapshot 0578 | MRR 0.9040
Snapshot 0579 | MRR 0.8605
Snapshot 0580 | MRR 0.9105
Snapshot 0581 | MRR 0.9005
Snapshot 0582 | MRR 0.8208
Snapshot 0583 | MRR 0.8675
Snapshot 0584 | MRR 0.8999
Snapshot 0585 | MRR 0.9096
Snapshot 0586 | MRR 0.8977
Snapshot 0587 | MRR 0.9066
Snapshot 0588 | MRR 0.9065
Snapshot 0589 | MRR 0.8834
Snapshot 0590 | MRR 0.6930
Snapshot 0591 | MRR 0.8052
Snapshot 0592 | MRR 0.8919
Snapshot 0593 | MRR 0.9094
Snapshot 0594 | MRR 0.9047
Snapshot 0595 | MRR 0.9067
Snapshot 0596 | MRR 0.9088
Snapshot 0597 | MRR 0.9019
Snapshot 0598 | MRR 0.9096
Snapshot 0599 | MRR 0.9125
Snapshot 0600 | MRR 0.9043
Snapshot 0601 | MRR 0.9024
Snapshot 0602 | MRR 0.9012
Snapshot 0603 | MRR 0.9092
Snapshot 0604 | MRR 0.9066
Snapshot 0605 | MRR 0.9215
Snapshot 0606 | MRR 0.9095
Snapshot 0607 | MRR 0.8980
Snapshot 0608 | MRR 0.8864
Snapshot 0609 | MRR 0.9036
Snapshot 0610 | MRR 0.9111
Snapshot 0611 | MRR 0.9173
Snapshot 0612 | MRR 0.9083
Snapshot 0613 | MRR 0.9144
